,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
26409,Wednesday,Spring,9,TENDERLOIN,"ARREST, BOOKED",-122.41219255572099,37.781604574125204,6,PS,close,High School,37725,0
7771,Saturday,Winter,15,TENDERLOIN,"ARREST, BOOKED",-122.413259498719,37.7829514828801,6,IND,very close,Primary School,11243,4
3540,Monday,Summer,1,RICHMOND,"ARREST, BOOKED",-122.45258693865601,37.7864601412645,2,CDC,far,Pre-School,5001,2
26265,Tuesday,Fall,19,TENDERLOIN,"ARREST, BOOKED",-122.413237516676,37.78284302332129,6,IND,very close,Primary School,37525,4
12192,Monday,Spring,17,INGLESIDE,"ARREST, BOOKED",-122.42122878644899,37.7452607746654,9,CDC,far,Pre-School,17587,0
4034,Thursday,Fall,20,SOUTHERN,"ARREST, BOOKED",-122.41436013877899,37.776430169375104,6,CDC,far,Pre-School,5731,4
18886,Thursday,Winter,17,SOUTHERN,"ARREST, BOOKED",-122.42218826142599,37.7726948236861,6,CC,close,College,27117,2
21572,Tuesday,Spring,18,INGLESIDE,"ARREST, BOOKED",-122.444742271009,37.712622934037796,11,PS,far,Primary School,30941,4
14305,Wednesday,Spring,18,SOUTHERN,"ARREST, BOOKED",-122.408595110869,37.7837069301545,6,IND,very far,Primary School,20594,1
5216,Thursday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.414242955907,37.783724025447796,6,CDC,very close,Pre-School,7541,2
3234,Tuesday,Summer,19,PARK,"ARREST, BOOKED",-122.453376250788,37.7687142722405,5,IND,far,High School,4564,0
56,Monday,Winter,17,TENDERLOIN,"ARREST, CITED",-122.412224164736,37.7820729312029,6,PS,very close,High School,79,0
13500,Monday,Winter,0,NORTHERN,"ARREST, BOOKED",-122.421893134467,37.779891233614,5,PS,close,High School,19468,1
9215,Tuesday,Summer,16,MISSION,"ARREST, BOOKED",-122.42027922768,37.7481246616016,9,CDC,close,Pre-School,13245,4
28752,Wednesday,Spring,20,TENDERLOIN,"ARREST, BOOKED",-122.412224164736,37.7820729312029,6,PS,very close,High School,41034,0
9917,Thursday,Winter,17,SOUTHERN,"ARREST, BOOKED",-122.42361948890301,37.7717157193451,5,CDC,very close,Pre-School,14279,2
26321,Sunday,Fall,12,BAYVIEW,"ARREST, BOOKED",-122.405235331357,37.7406551031553,10,IND,far,Pre-School,37611,4
24241,Tuesday,Spring,14,SOUTHERN,NONE,-122.40650848700301,37.7803313209065,6,PS,very far,Primary School,34659,1
29512,Saturday,Spring,1,TENDERLOIN,"ARREST, BOOKED",-122.415858343095,37.7830505366842,6,CDC,far,Pre-School,42122,1
2952,Sunday,Spring,18,PARK,NONE,-122.452728322759,37.7693241293319,5,IND,close,High School,4175,2
10699,Saturday,Spring,16,RICHMOND,"ARREST, BOOKED",-122.459486902729,37.7741658244605,1,CDC,very far,Pre-School,15423,2
23783,Saturday,Spring,22,MISSION,"ARREST, BOOKED",-122.420580440119,37.76499686229821,9,PS,far,Primary School,33994,0
707,Thursday,Winter,16,NORTHERN,"ARREST, BOOKED",-122.417999278691,37.7856407526644,6,CDC,far,Pre-School,989,1
29853,Saturday,Summer,19,MISSION,"ARREST, BOOKED",-122.40925614414101,37.7543991876861,9,PS,close,High School,42614,0
