,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
78660,Thursday,Spring,19,PARK,"ARREST, BOOKED",-122.44693331097456,37.77000619883579,5,IND,close,High School,111739,6
77818,Wednesday,Fall,22,INGLESIDE,"ARREST, BOOKED",-122.449556915345,37.7229598160913,7,IND,close,High School,110507,2
72654,Wednesday,Spring,11,NORTHERN,"ARREST, BOOKED",-122.420713728356,37.791054571840796,3,CDC,close,Pre-School,103126,1
74614,Friday,Spring,14,SOUTHERN,"ARREST, BOOKED",-122.40970842372101,37.78282764988379,6,IND,far,Primary School,105931,1
63834,Friday,Spring,19,MISSION,"ARREST, BOOKED",-122.41936035276899,37.76183580124221,9,CDC,close,Pre-School,90678,1
82409,Tuesday,Winter,22,BAYVIEW,"ARREST, BOOKED",-122.38962264394272,37.72285415219799,10,PS,very far,Primary School,117440,0
74993,Saturday,Fall,16,TENDERLOIN,"ARREST, BOOKED",-122.414056291891,37.7827931071006,6,CDC,very close,Pre-School,106456,4
71983,Saturday,Fall,18,SOUTHERN,"ARREST, BOOKED",-122.407163046954,37.7797376338991,6,PS,very far,Primary School,102211,1
65811,Tuesday,Spring,17,TARAVAL,"ARREST, BOOKED",-122.461301563433,37.7191418613626,7,IND,very far,Primary School,93437,1
71198,Friday,Summer,15,PARK,NONE,-122.43892863119899,37.780587449040105,5,IND,very close,Pre-School,101083,1
79985,Friday,Spring,7,INGLESIDE,"ARREST, BOOKED",-122.40599392867857,37.74537149994009,10,IND,very far,Primary School,113706,2
76800,Sunday,Winter,22,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,108968,1
82728,Friday,Fall,18,PARK,"ARREST, BOOKED",-122.44778307055876,37.76995495034647,5,IND,close,High School,117908,1
76419,Sunday,Fall,3,INGLESIDE,"ARREST, BOOKED",-122.42395150774999,37.73884330767,8,PS,far,Primary School,108419,1
75072,Sunday,Summer,19,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,106564,1
72969,Wednesday,Spring,11,NORTHERN,"ARREST, BOOKED",-122.41753069698,37.78331075399689,6,CDC,far,Pre-School,103574,1
81545,Tuesday,Winter,12,NORTHERN,"ARREST, BOOKED",-122.41918309636223,37.78309982445922,6,CDC,close,Pre-School,116121,1
63932,Friday,Summer,13,NORTHERN,"ARREST, BOOKED",-122.42824524231199,37.7820044139073,5,CDC,very close,Pre-School,90807,6
70788,Tuesday,Spring,0,TENDERLOIN,"ARREST, BOOKED",-122.411965795229,37.78491418595621,6,CDC,very close,Pre-School,100511,1
75061,Wednesday,Fall,17,TENDERLOIN,"ARREST, BOOKED",-122.413893155951,37.782346520672995,6,CDC,very close,Pre-School,106543,4
